Ratio_L_to_W,Angle_Front,Angle_Back,Label
2.5,70,85,Welienna
2.55,80,75,Welienna
2.56,140,90,Welienna
2.56,100,85,Welienna
2.56,60,85,Welienna
2.56,70,85,Welienna
2.57,90,70,Welienna
2.57,60,85,Welienna
2.58,90,75,Welienna
2.58,60,85,Welienna
2.59,60,75,Welienna
2.59,70,75,Welienna
2.62,110,90,Welienna
2.63,80,70,Welienna
2.64,85,70,Welienna
2.65,80,70,Welienna
2.65,80,85,Welienna
2.66,90,80,Welienna
2.67,70,65,Welienna
2.68,110,85,Welienna
2.68,60,80,Welienna
2.69,90,75,Welienna
2.75,60,85,Welienna
2.76,70,75,Welienna
2.76,120,90,Welienna
2.78,80,88,Welienna
2.82,70,60,Welienna
2.88,85,70,Welienna
2.9,60,80,Welienna
2.68,70,75,Welienna
2.58,85,80,Welienna
2.84,70,65,Welienna
2.94,65,65,Welienna
2,90,80,Kaluwara
2.02,90,70,Kaluwara
2.02,90,70,Kaluwara
2.04,60,65,Kaluwara
2.17,70,70,Kaluwara
2.18,120,100,Kaluwara
2.3,90,70,Kaluwara
2.3,90,80,Kaluwara
2.3,85,80,Kaluwara
2.3,85,50,Kaluwara
2.31,70,75,Kaluwara
2.32,70,65,Kaluwara
2.32,70,70,Kaluwara
2.33,75,70,Kaluwara
2.33,70,65,Kaluwara
2.34,60,46,Kaluwara
2.35,80,85,Kaluwara
2.35,40,40,Kaluwara
2.35,90,85,Kaluwara
2.36,90,80,Kaluwara
2.38,90,70,Kaluwara
2.43,40,40,Kaluwara
2.44,80,85,Kaluwara
2.44,60,65,Kaluwara
2.44,50,50,Kaluwara
2.44,50,50,Kaluwara
2.44,60,70,Kaluwara
2.44,70,65,Kaluwara
2.45,70,65,Kaluwara
2.45,60,70,Kaluwara
2.47,80,75,Kaluwara
2.5,70,70,Kaluwara
2.51,70,75,Kaluwara
1.56,70,90,Welan
1.74,60,95,Welan
1.75,70,95,Welan
1.75,80,95,Welan
1.76,50,80,Welan
1.78,70,95,Welan
1.84,70,120,Welan
1.85,50,80,Welan
1.85,60,120,Welan
1.86,60,100,Welan
1.86,60,90,Welan
1.87,60,110,Welan
1.88,80,104,Welan
1.88,60,90,Welan
1.88,70,95,Welan
1.89,70,90,Welan
1.89,60,105,Welan
1.9,50,125,Welan
1.9,80,105,Welan
1.95,50,100,Welan
1.95,50,100,Welan
1.95,60,105,Welan
1.95,60,110,Welan
1.95,50,85,Welan
1.95,60,95,Welan
1.95,70,105,Welan
1.95,60,105,Welan
1.95,70,85,Welan
1.97,50,120,Welan
1.97,60,100,Welan
1.97,70,105,Welan
1.97,80,110,Welan
1.98,80,120,Welan
1.98,80,130,Welan
2.85,80,70,Welienna
2.52,80,77,Welienna
2.53,70,60,Welienna
2.53,30,80,Welienna
2.6,70,85,Welienna
2.6,85,70,Welienna
2.61,85,70,Welienna
2.7,60,80,Welienna
2.71,65,80,Welienna
2.74,80,75,Welienna
2.07,80,75,Kaluwara
2.14,70,70,Kaluwara
2.47,60,55,Kaluwara
2.47,60,55,Kaluwara
2.48,70,65,Kaluwara
2.49,50,50,Kaluwara
2.4,50,55,Kaluwara
2.4,75,80,Kaluwara
2.42,80,75,Kaluwara
2.42,50,45,Kaluwara
1.78,80,104,Welan
1.8,50,80,Welan
1.8,60,70,Welan
1.82,70,120,Welan
1.83,60,85,Welan
1.9,70,120,Welan
1.9,60,100,Welan
1.93,50,100,Welan
1.95,70,105,Welan
1.95,40,100,Welan
